,s.times.ff,g.times.ff,s.times.w,g.times.w,s.times.sg,g.times.sg,s.times.pk,g.times.pk,s.times.t,g.times.t,s.times.pp,g.times.pp,s.times.np,g.times.np,s.times.cc,g.times.cc,s.times.fb,g.times.fb
0,0.033423755,0.012837225,0.037426498,0.025305865,0.021189299,0.021189299,0.045322979,0.049218023,0.025305865,0.021189299,0.004321374,0.021189299,0.025305865,0.100370545,0,0,0.012837225,0.008600172
1,0.079181246,0.033423755,0.089905111,0.079181246,0.049218023,0.021189299,0.130333768,0.064457989,0.068185862,0.033423755,0.025305865,0.029383778,0.149219113,0.161368002,0.008600172,0.008600172,0.012837225,0.012837225
2,2.232462439,0.503790683,1.373647472,0.352182518,0.515873844,0.161368002,0.367355921,0.127104798,0.673941999,0.23299611,0.021189299,0.056904851,0.230448921,0.181843588,0.012837225,0.012837225,0.021189299,0.012837225
3,3.771019808,0.811575006,3.295353749,1.344392274,1.693726949,0.491361694,0.532754379,0.206825876,1.069298012,0.324282455,0.008600172,0.08278537,0.748962861,0.336459734,0.004321374,0.012837225,0.033423755,0.012837225
4,NA,NA,1.86711378,1.441695136,2.083968198,0.631443769,1.668012972,0.496929648,1.113943352,0.392696953,0.004321374,0.11058971,0.765668555,0.962369336,0.008600172,0.021189299,0.11058971,0.021189299
5,NA,NA,NA,NA,NA,NA,2.624261464,0.868056362,2.006679928,0.627365857,0.503790683,0.26245109,1.42553422,0.968949681,0.012837225,0.025305865,0.056904851,0.033423755
6,NA,NA,NA,NA,NA,NA,NA,NA,1.665580991,0.98811284,1.035029282,0.671172843,2.767890205,1.108226656,0.120573931,0.06069784,0.068185862,0.033423755
7,NA,NA,NA,NA,NA,NA,NA,NA,2.460687407,1.624178926,1.970672243,0.993876915,2.282304828,1.124504225,0.117271296,0.068185862,0.096910013,0.041392685
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.923291695,1.807332039,0.926342447,0.243038049,0.184691431,0.056904851
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.110050042,2.098920479,0.876217841,0.257678575,0.348304863,0.06069784
10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.282304828,2.283934113,1.573451822,0.442479769,0.752048448,0.167317335
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.550228353,0.522444234,1.101059355,0.257678575
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.29841638,0.274157849
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.039017322,0.320146286
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.393908473,0.587710965
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.645530338,0.848804701
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.603501625,0.946452265
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.537189226,0.957128198
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.187634638,2.485678847
